exp,step,level,metric,n_succ,n_fail,mean_all,mean_succ,mean_fail,gap,gap_ci_lo,gap_ci_hi,auc,gmm_acc,gmm_base_rate,n_ep_succ,n_ep_fail
official_4to5,init,episode,ce,150,1898,1.4218240881087032,1.4393086567097872,1.4204422728873323,0.01886638382245498,-0.000362645743321721,0.038457255903665,0.5498314014752371,0.8837890625,0.9267578125,150,1898
official_4to5,init,episode,perplexity,150,1898,4.2202359951940425,4.303821710796096,4.2136301694088445,0.09019154138725138,0.009492618420236965,0.17357946692226628,0.5554829645240604,0.9267578125,0.9267578125,150,1898
official_4to5,init,episode,target_confidence_mean,150,1898,0.6976052995339411,0.6940398762291629,0.6978870769289447,-0.0038472006997818387,-0.008587396179527442,0.0006229170393206209,0.4550087811731648,0.55712890625,0.9267578125,150,1898
official_4to5,init,episode,action_obs_cosine,150,1898,0.34907280903526794,0.37502710712295356,0.3470216263623739,0.028005480760579682,-0.0023498992604338463,0.055928020248309916,0.5256059009483668,0.671875,0.9267578125,150,1898
official_4to5,init,transition,ce,3874,94900,1.4206807727251276,1.426523218416089,1.4204422728873323,0.006080945528756709,-4.5671253419377026e-05,0.012547986178018106,0.5076075106638893,0.8971692955636098,0.9607791524085285,150,1898
official_4to5,init,transition,perplexity,3874,94900,4.214927124974442,4.246698184131718,4.2136301694088445,0.033068014722873684,0.006168376356987771,0.06200696061792126,0.5076075106638893,0.7755380970700791,0.9607791524085285,150,1898
official_4to5,init,transition,target_confidence_mean,3874,94900,0.697834677995609,0.6965510799642316,0.6978870769289447,-0.0013359969647130931,-0.0027215204656186043,4.700837317854842e-05,0.48397654678755947,0.9215886771822545,0.9607791524085285,150,1898
official_4to5,init,transition,action_obs_cosine,3874,94900,0.3475734898371849,0.36109229307919816,0.34702162636237394,0.01407066671682422,0.005146670985937472,0.023234617983109,0.5096980776982862,0.6979063316257315,0.9607791524085285,150,1898
official_4to5,15,episode,ce,282,1766,1.4196896346535244,1.4404782813391805,1.4163700432801636,0.024108238059016962,0.009973343297799453,0.03857756319224781,0.5641329927792904,0.8212890625,0.8623046875,282,1766
official_4to5,15,episode,perplexity,282,1766,4.203881029140231,4.301577583848214,4.1882805600419,0.11329702380631446,0.054731557259488264,0.1729021380157952,0.5726930274772496,0.77783203125,0.8623046875,282,1766
official_4to5,15,episode,target_confidence_mean,282,1766,0.6921959589388209,0.6867766119919684,0.6930613359711044,-0.006284723979136042,-0.009423368917422856,-0.0029897109825593586,0.4267085933672281,0.7060546875,0.8623046875,282,1766
